0.9005887194507338: [('roberta', 'cp/roberta/19/checkpoint-6000', ''), ('roberta', 'cp/roberta/34/checkpoint-26000', ''), ('distilbert', 'cp/distilbert/25/checkpoint-19000', ''), ('roberta', 'cp/roberta/32/checkpoint-13000', ''), ('roberta', 'cp/roberta/34/checkpoint-81500', ''), ('roberta', 'cp/roberta/32/checkpoint-13500', ''), ('roberta', 'cp/roberta/31/checkpoint-2500', ''), ('bert', 'cp/bert/04/checkpoint-9000', ''), ('xlnet', 'cp/xlnet/07/checkpoint-22000', ''), ('distilbert', 'cp/distilbert/13/checkpoint-4000', '')]
0.908688445008245: [('roberta', 'cp/roberta/20/checkpoint-8000', ''), ('distilbert', 'cp/distilbert/25/checkpoint-10000', ''), ('roberta', 'cp/roberta/32/checkpoint-17500', ''), ('roberta', 'cp/roberta/34/checkpoint-12000', ''), ('roberta', 'cp/roberta/32/checkpoint-25500', ''), ('distilbert', 'cp/distilbert/14/checkpoint-2000', ''), ('roberta', 'cp/roberta/11/checkpoint-6000', ''), ('xlnet', 'cp/xlnet/07/checkpoint-3500', ''), ('roberta', 'cp/roberta/29/checkpoint-39000', ''), ('distilbert', 'cp/distilbert/21/checkpoint-13000', '')]
0.9106338715908823: [('roberta', 'cp/roberta/26/checkpoint-7000', ''), ('bert', 'cp/bert/04/checkpoint-1000', ''), ('roberta', 'cp/roberta/31/checkpoint-17000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-85000', ''), ('bert', 'cp/bert/03/checkpoint-7000', ''), ('xlnet', 'cp/xlnet/03/checkpoint-6000', ''), ('roberta', 'cp/roberta/29/checkpoint-35000', ''), ('roberta', 'cp/roberta/26/checkpoint-2000', ''), ('xlnet', 'cp/xlnet/06/checkpoint-18000', ''), ('roberta', 'cp/roberta/31/checkpoint-1000', '')]
0.9163966652099313: [('roberta', 'cp/roberta/34/checkpoint-60000', ''), ('roberta', 'cp/roberta/29/checkpoint-2000', ''), ('distilbert', 'cp/distilbert/16/checkpoint-4000', ''), ('roberta', 'cp/roberta/14/checkpoint-14000', ''), ('roberta', 'cp/roberta/21/checkpoint-14000', ''), ('roberta', 'cp/roberta/32/checkpoint-30500', ''), ('xlnet', 'cp/xlnet/07/checkpoint-25000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-53000', ''), ('bert', 'cp/bert/02/checkpoint-15000', ''), ('distilbert', 'cp/distilbert/25/checkpoint-13000', '')]
0.9165474375657899: [('roberta', 'cp/roberta/34/checkpoint-18000', ''), ('roberta', 'cp/roberta/26/checkpoint-13000', ''), ('bert', 'cp/bert/04/checkpoint-1000', ''), ('distilbert', 'cp/distilbert/26/checkpoint-500', ''), ('xlnet', 'cp/xlnet/08/checkpoint-39500', ''), ('distilbert', 'cp/distilbert/26/checkpoint-3500', ''), ('xlnet', 'cp/xlnet/08/checkpoint-69000', ''), ('roberta', 'cp/roberta/16/checkpoint-8000', ''), ('roberta', 'cp/roberta/33/checkpoint-6000', ''), ('distilbert', 'cp/distilbert/24/checkpoint-19000', '')]
0.9203471903942696: [('distilbert', 'cp/distilbert/25/checkpoint-17500', ''), ('roberta', 'cp/roberta/22/checkpoint-10000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-59500', ''), ('xlnet', 'cp/xlnet/06/checkpoint-7000', ''), ('bert', 'cp/bert/03/checkpoint-8000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-19000', ''), ('roberta', 'cp/roberta/34/checkpoint-61500', ''), ('roberta', 'cp/roberta/34/checkpoint-30500', ''), ('distilbert', 'cp/distilbert/26/checkpoint-4000', ''), ('roberta', 'cp/roberta/26/checkpoint-40000', '')]
0.9205073553969034: [('xlnet', 'cp/xlnet/04/checkpoint-4000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-50500', ''), ('roberta', 'cp/roberta/34/checkpoint-84500', ''), ('distilbert', 'cp/distilbert/21/checkpoint-19000', ''), ('distilbert', 'cp/distilbert/14/checkpoint-3000', ''), ('xlnet', 'cp/xlnet/02/checkpoint-9000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-49500', ''), ('roberta', 'cp/roberta/26/checkpoint-40000', ''), ('distilbert', 'cp/distilbert/17/checkpoint-1000', ''), ('xlnet', 'cp/xlnet/07/checkpoint-17000', '')]
0.9210348815300012: [('roberta', 'cp/roberta/34/checkpoint-38000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-74500', ''), ('roberta', 'cp/roberta/34/checkpoint-10000', ''), ('roberta', 'cp/roberta/13/checkpoint-4000', ''), ('xlnet', 'cp/xlnet/07/checkpoint-30500', ''), ('distilbert', 'cp/distilbert/26/checkpoint-7000', ''), ('roberta', 'cp/roberta/20/checkpoint-11000', ''), ('roberta', 'cp/roberta/27/checkpoint-2000', ''), ('distilbert', 'cp/distilbert/14/checkpoint-6000', ''), ('roberta', 'cp/roberta/34/checkpoint-57000', '')]
0.9223768866665338: [('roberta', 'cp/roberta/34/checkpoint-4000', ''), ('bert', 'cp/bert/02/checkpoint-26000', ''), ('distilbert', 'cp/distilbert/21/checkpoint-19000', ''), ('xlnet', 'cp/xlnet/08/checkpoint-38000', ''), ('roberta', 'cp/roberta/14/checkpoint-6000', ''), ('distilbert', 'cp/distilbert/13/checkpoint-20000', ''), ('xlnet', 'cp/xlnet/02/checkpoint-11000', ''), ('xlnet', 'cp/xlnet/03/checkpoint-15000', ''), ('roberta', 'cp/roberta/33/checkpoint-6500', ''), ('bert', 'cp/bert/02/checkpoint-44000', '')]
0.9226204047129977: [('roberta', 'cp/roberta/34/checkpoint-38000', ''), ('distilbert', 'cp/distilbert/24/checkpoint-14000', ''), ('roberta', 'cp/roberta/33/checkpoint-1500', ''), ('roberta', 'cp/roberta/32/checkpoint-3000', ''), ('xlnet', 'cp/xlnet/07/checkpoint-25500', ''), ('xlnet', 'cp/xlnet/08/checkpoint-69500', ''), ('distilbert', 'cp/distilbert/26/checkpoint-16000', ''), ('roberta', 'cp/roberta/32/checkpoint-5500', ''), ('xlnet', 'cp/xlnet/04/checkpoint-6000', ''), ('xlnet', 'cp/xlnet/07/checkpoint-5500', '')]
0.9228375641675306: [('distilbert', 'cp/distilbert/25/checkpoint-8500', ''), ('xlnet', 'cp/xlnet/07/checkpoint-12500', ''), ('distilbert', 'cp/distilbert/25/checkpoint-5000', ''), ('roberta', 'cp/roberta/34/checkpoint-58000', ''), ('roberta', 'cp/roberta/23/checkpoint-8000', ''), ('roberta', 'cp/roberta/34/checkpoint-31000', ''), ('roberta', 'cp/roberta/15/checkpoint-15000', ''), ('distilbert', 'cp/distilbert/25/checkpoint-44000', ''), ('roberta', 'cp/roberta/21/checkpoint-14000', ''), ('distilbert', 'cp/distilbert/25/checkpoint-23000', '')]
